blockTime,mint,delta_raw,fee_lamports
1771733417,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,-561161839,5000
1771733417,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,-729874945,5000
1771733395,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,352146027,24582
1771733395,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,938890892,23612
1771713857,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,-2282170757,5000
1771713857,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,-2119753802,5000
1771713827,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,3893126603,7824
1771713770,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,124960935,498785
1771713756,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,165117223,21331
1771713754,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,2910414,23111
1771713754,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,34497198,22205
1771713754,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,15134257,13367
1771711293,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,243380,15312
1771711289,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,165934375,15730
1771711164,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,-2607697387,5000
1771711164,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,-1593952634,5000
1771711043,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,4107005286,82976
1771711024,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,94644925,437445
1771710190,CZRsbB6BrHsAmGKeoxyfwzCyhttXvhfEukXCWnseBAGS,-478698097794496,30572
1771710168,FFYLoYzPnD1CAVa8UeP9BeXhPPAykRkYiFLqVpxKbonk,-1162845398563,64635
1771710157,2RF38YBj5xMSzap94CrsQKDTZ5FTd8fwrdQSUzfrpump,-724044710817,44261
1771710103,2RF38YBj5xMSzap94CrsQKDTZ5FTd8fwrdQSUzfrpump,100862560323,5000
1771710103,2RF38YBj5xMSzap94CrsQKDTZ5FTd8fwrdQSUzfrpump,617470436448,5000
1771710083,CZRsbB6BrHsAmGKeoxyfwzCyhttXvhfEukXCWnseBAGS,46613543408156,5000
1771710083,CZRsbB6BrHsAmGKeoxyfwzCyhttXvhfEukXCWnseBAGS,140087293538290,5000
1771710083,CZRsbB6BrHsAmGKeoxyfwzCyhttXvhfEukXCWnseBAGS,281220675154976,5000
1771710065,FFYLoYzPnD1CAVa8UeP9BeXhPPAykRkYiFLqVpxKbonk,142118766032,5000
1771710065,FFYLoYzPnD1CAVa8UeP9BeXhPPAykRkYiFLqVpxKbonk,339476867324,5000
1771710065,FFYLoYzPnD1CAVa8UeP9BeXhPPAykRkYiFLqVpxKbonk,681249741866,5000
1771709909,132STreShuLRNgkyF1QECv37yP9Cdp8JBAgnKBgKafed,-143903744008,356791
1771709893,HdvZF538TerjMWc1cmtWVKUaGkS8d77sGH5QaDCCpump,-618329881015,21468
1771709698,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,-8037543882,5000
1771709698,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,-10454028528,5000
1771709633,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,18491572381,12362
